PG,PG,SG,SG,SF,SF,PF,PF,C,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
128363-157812,128363-157850,128363-49116,128363-157908,128363-110312,128363-110356,128363-233146,128363-228117,128363-60021,281.60,59900,5.31,360.82,1.3565,0.0037
128363-188405,128363-203718,128363-188449,128363-60021,128363-110356,128363-145334,128363-188452,128363-67026,128363-70823,290.90,58700,13.03,373.80,0.9433,0.0113
128363-188405,128363-158373,128363-171769,128363-188452,128363-9714,128363-203802,128363-145308,128363-157833,128363-157908,278.10,59500,3.31,337.82,1.0447,0.0017
128363-110312,128363-145331,128363-145323,128363-213216,128363-188418,128363-188452,128363-157833,128363-60021,128363-159097,311.50,60000,13.34,392.84,4.6992,0.0350
128363-49675,128363-84667,128363-157908,128363-9646,128363-213216,128363-203715,128363-49116,128363-171795,128363-145304,277.10,59500,4.87,359.47,2.1179,0.0113
128363-145331,128363-19067,128363-188444,128363-157833,128363-20640,128363-213216,128363-80808,128363-84670,128363-228700,283.40,59800,3.72,349.68,1.2236,0.0043
128363-179762,128363-145323,128363-145334,128363-203718,128363-68090,128363-157833,128363-188418,128363-60021,128363-58462,312.40,59800,17.07,398.06,7.0924,0.0410
128363-188405,128363-145331,128363-60021,128363-194829,128363-203777,128363-145323,128363-145334,128363-84695,128363-188451,300.00,59000,9.27,381.59,3.1429,0.0257
128363-145323,128363-179762,128363-84667,128363-188464,128363-12341,128363-84695,128363-157833,128363-80817,128363-60021,320.00,59700,22.61,419.34,14.3637,0.0950
128363-84719,128363-145331,128363-171767,128363-12341,128363-110357,128363-145323,128363-203802,128363-84695,128363-157811,280.00,57500,5.54,352.16,0.3587,0.0027
128363-145323,128363-158373,128363-171767,128363-171770,128363-110357,128363-84670,128363-145341,128363-157822,128363-145548,287.10,58000,6.61,356.65,0.1115,0.0010
128363-145323,128363-179762,128363-188405,128363-213216,128363-203761,128363-171770,128363-60021,128363-12341,128363-70823,313.00,59800,16.71,397.36,6.4005,0.0450
128363-49675,128363-158373,128363-188416,128363-80808,128363-228161,128363-145334,128363-203761,128363-40562,128363-228166,290.50,59400,5.37,349.78,0.1643,0.0027
128363-145331,128363-179762,128363-158855,128363-60021,128363-188464,128363-145334,128363-203761,128363-157833,128363-157825,320.00,59800,21.07,411.04,14.4777,0.0790
128363-179762,128363-145331,128363-19067,128363-84667,128363-12341,128363-84695,128363-171795,128363-157833,128363-188451,308.30,59800,17.32,401.16,8.1806,0.0543
128363-171784,128363-110312,128363-58462,128363-188422,128363-49675,128363-9714,128363-188452,128363-171795,128363-228122,290.80,59900,9.50,370.81,1.0640,0.0107
128363-157850,128363-171784,128363-145308,128363-171770,128363-188464,128363-9714,128363-49116,128363-157833,128363-55059,277.00,59100,5.71,360.05,2.0948,0.0103
128363-49675,128363-158373,128363-84667,128363-145334,128363-157822,128363-203761,128363-80817,128363-194829,128363-159097,308.10,60000,12.33,385.78,3.1089,0.0217
128363-188410,128363-145323,128363-157833,128363-80817,128363-228161,128363-171784,128363-171770,128363-203802,128363-70823,297.50,59800,8.81,370.03,1.6175,0.0080
128363-203721,128363-80816,128363-49116,128363-145314,128363-145334,128363-203713,128363-84670,128363-12341,128363-60021,279.80,59000,5.70,364.53,1.9951,0.0090
128363-145331,128363-145323,128363-58462,128363-203761,128363-19067,128363-145334,128363-203716,128363-233146,128363-158137,288.40,59500,4.93,365.40,1.6355,0.0073
128363-19067,128363-157850,128363-60021,128363-171925,128363-228133,128363-80816,128363-80808,128363-145341,128363-157811,276.90,58500,5.63,359.05,1.1826,0.0037
128363-158373,128363-80816,128363-12341,128363-228117,128363-145334,128363-188410,128363-157826,128363-157833,128363-60021,285.60,59500,3.44,356.95,1.7571,0.0050
128363-145323,128363-145331,128363-70823,128363-12341,128363-228161,128363-84667,128363-110357,128363-171770,128363-203771,304.80,59900,13.95,388.49,4.7947,0.0310
