F,F,F,F,F,F,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,MMA Default,MMA Sim Diversity 10,geomean1,Saber Score
42728122,42728124,42704857,42704859,42728127,42704871,,422.09,369.7825,437.235,508.57,545.673,603.069,688.2467,158.68,49800,1,0,103.3859365,170.0510048,25.89547425,29.04515862
42704868,42704866,42704875,42704859,42728127,42704861,,422.71,364.685,428.305,505.7475,540.138,607.803,696.9715,168.515,49500,0,0,103.3733871,69.82808721,27.51170506,8.292143792
42728122,42728124,42704857,42704859,42704863,42704865,,425.41,378.0375,439.54,509.0325,544.4915,603.6355,678.1358,153.27,49500,0,0,103.332106,70.85840916,24.80574875,24.77667034
42728122,42704866,42704856,42704859,42704873,42704863,,421.64,379.5975,441.665,506.3375,540.3525,610.56,679.8851,151.9,49900,0,0,103.3197242,70.25898065,24.77222967,23.06838185
42728122,42728124,42704870,42704859,42704861,42704865,,434.35,387.8075,451.815,519.16,548.059,605.0585,672.4633,156.685,50000,0,0,103.3188203,72.31920279,25.30570296,40.92559516
42728122,42704860,42704875,42704857,42704859,42704863,,428.75,374.85,439.19,509.1925,547.6535,612.457,688.5663,164.88,50000,0,0,103.3141723,70.9589305,26.73899588,30.80079556
42728122,42704864,42704862,42704857,42704859,42704867,,422.53,369.125,438.925,506.145,537.709,600.963,680.1887,151.83,50000,0,0,103.3141139,70.37247083,23.41296152,35.03482044
42704868,42704866,42704864,42704857,42704859,42728125,,429.6,379.8375,442.29,505.8375,541.357,600.8525,674.2,155.05,50000,0,0,103.297542,71.57848058,23.61739638,32.16479421
42704866,42704860,42704870,42704857,42704859,42728127,,432.03,367.755,439.025,506.295,550.5925,610.7215,692.1724,172.535,50000,3,0,103.2925155,371.2894762,28.21783929,45.71906328
42728122,42704864,42704862,42704859,42728127,42704861,,420.25,367.73,433.55,500.215,540.903,612.6355,684.1411,154.32,49900,1,0,103.2868981,169.9016846,25.16155675,12.77577579
42704868,42704866,42704858,42704857,42704873,42704865,,434.51,375.1075,443.325,509.0075,546.033,608.998,682.9256,168.505,49700,1,0,103.271473,171.958505,27.5482521,30.84813654
42728122,42704868,42704870,42704859,42704861,42704867,,421.58,373.9775,437.675,503.225,537.643,595.434,680.9832,153.215,49800,0,0,103.2577077,70.19123278,23.46130707,13.58902305
42704866,42704864,42704875,42704857,42704859,42704873,,435.67,375.74,445.705,517.2025,554.863,621.139,691.0093,174.785,49900,1,0,103.2525526,171.8324531,28.7268206,62.96949387
42704868,42704870,42704875,42704857,42704859,42704873,,440.84,380.515,451.44,523.7125,567.1905,635.9475,702.312,190.33,49800,5,0,103.2275499,572.1591085,31.52875322,109.363687
42704868,42704860,42704862,42704857,42704859,42704865,,431.26,369.4425,438.29,510.175,546.823,610.0435,687.0208,168.97,49700,0,0,103.2252272,71.33900354,27.53209267,50.47807693
42704868,42704866,42704857,42704859,42704873,42704861,,431.26,376.7675,448.15,520.9475,553.672,620.343,687.8262,170.045,49300,0,0,103.2249789,71.31062467,27.86794068,43.80851388
42704868,42704860,42704875,42704857,42704859,42728127,,427.84,361.6625,432.48,503.06,545.0875,610.738,699.1906,175.875,49800,0,0,103.2072356,70.42116288,28.82545704,46.76034451
42728122,42704862,42704872,42704857,42704859,42704871,,420.1,368.3475,442.735,511.68,547.722,615.796,692.6326,162.125,49900,0,0,103.2070559,69.5554983,26.40400394,66.94102883
42728124,42704868,42704860,42704857,42704859,42728123,,427.45,371.8475,439.04,502.9625,536.0175,596.453,670.9346,149.95,50000,1,0,103.1948049,171.3545118,21.66399166,17.23363549
42728122,42704866,42704858,42704857,42704863,42704861,,427.1,378.4375,443.295,508.8325,543.2805,604.952,677.0893,155.73,50000,0,0,103.1828251,71.08472451,25.28854971,36.91091537
42728122,42704864,42704857,42704859,42704873,42728127,,425.46,375.79,441.645,508.5375,548.0965,613.559,686.2508,161.555,49600,0,0,103.1700487,70.52636604,26.41914114,14.71210122
42704868,42704870,42704862,42704857,42704859,42704861,,435.94,376.2475,448.01,518.2425,560.8035,627.6225,695.8774,181.645,49800,1,0,103.1497907,171.665401,29.80099746,79.34645414
42728124,42704868,42704870,42704859,42704861,42704865,,431.3,372.87,444.45,511.47,544.575,605.844,681.3336,164.685,49800,2,0,103.1490629,271.5190879,26.64821774,16.83779955
42704868,42704864,42704872,42704857,42704859,42704861,,426.27,378.0525,443.67,514.51,548.4855,612.9315,684.4326,162.57,50000,0,0,103.1467017,70.69716087,26.43539119,40.99871218
42728122,42704866,42704862,42704859,42704871,42704861,,423.72,377.535,439.62,504.9675,543.4315,608.305,680.3953,156.025,49900,0,0,103.1418277,70.47629111,25.44608354,37.07872629
42704868,42704866,42704857,42704859,42704873,42704863,,431.44,376.5575,447.32,518.0925,557.5285,614.939,685.9416,169.27,49500,0,0,103.1408197,71.37427177,27.69044233,30.96859753
42728122,42704866,42704857,42704859,42704873,42704871,,428.93,381.2275,445.165,516.7425,552.516,623.2005,683.5491,163.26,49600,0,0,103.1350253,71.10097259,26.71788869,49.95309412
42704868,42704866,42704870,42704859,42704863,42704861,,430,375.7825,445.115,508.705,548.965,614.4135,684.4362,166.71,49900,1,0,103.1345256,171.2211547,27.03537723,26.54519379
42728124,42704866,42704860,42704859,42704873,42704865,,431.86,375.15,438.825,501.2125,538.197,597.889,669.1005,153.88,50000,0,0,103.1340364,72.02316204,25.12231027,32.15190768
42728122,42704868,42704875,42704859,42728127,42704865,,431.08,379.005,443.305,512.325,548.9595,619.003,681.3653,163.845,49700,0,0,103.1144632,71.47528827,26.58112153,34.68632698
42728122,42704860,42704862,42704859,42704873,42728127,,425.98,368.88,433.76,504.17,545.7065,606.248,681.8852,159.06,50000,0,0,103.1071626,70.73241409,26.03443452,26.49784982
42728122,42704864,42704875,42704859,42704873,42704863,,423.01,371.02,435.665,505.8375,541.161,604.2265,686.9336,160.01,49900,0,0,103.1028328,70.13304472,26.00352109,38.47717643
42704868,42704866,42704862,42704858,42704861,42704865,,429.3,367.5875,433.91,503.895,540.7935,601.058,678.0732,161.27,50000,3,0,103.0992447,371.3338235,26.2369206,45.4823494
42728122,42704868,42704858,42704857,42704871,42704865,,426.86,375.4725,438.27,504.1225,543.778,604.844,681.7435,161.05,49900,0,0,103.0963433,70.8583966,26.14276296,64.19146657
42728122,42704866,42704857,42704874,42704859,42704861,,420.34,373.4275,440.32,507.3025,546.388,609.208,689.1244,160.525,49700,0,0,103.0889309,69.67336155,26.19755872,20.21124065
42728122,42728124,42704875,42704857,42704859,42704869,,430.11,381.885,446.35,511.6625,548.123,605.485,676.7981,157.31,49900,0,0,103.0867559,71.48915703,24.39751079,22.82746285
42728124,42704866,42704862,42704859,42704873,42704865,,432.85,377.275,441.13,509.3575,540.198,608.671,675.008,160.68,49800,1,0,103.0805733,171.9379798,26.26178627,24.71644431
42728122,42704866,42704864,42704859,42704873,42728125,,422.08,379.84,434.175,496.525,534.9925,587.095,666.6658,141.72,49900,0,0,103.0802102,70.70588143,21.73659041,6.536507607
42728124,42704868,42704857,42704859,42704873,42704871,,427.28,369.21,437.01,511.5775,551.4635,621.9605,690.5605,169.66,49700,1,0,103.0793963,170.6024533,27.83273028,47.20352292
42728122,42704868,42704857,42704859,42704871,42704861,,423.61,377.8725,441.14,512.9275,547.5105,614.8685,686.8371,162.59,49500,0,0,103.0701911,70.21051626,26.44614129,35.89541316
