Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
64,5129711538,Bsgolfer7 (93/103),0,155.3,1B Matt Olson 2B Marcus Semien 3B Josh Jung C Drake Baldwin OF Michael Harris II OF Mauricio Dubon OF Josh Lowe P Chris Sale P Emerson Hancock SS Jorge Mateo,,Spencer Torkelson,1B,5.53%,0
64,5129711548,Bsgolfer7 (103/103),0,155.3,1B Josh Naylor 2B Gleyber Torres 3B Leo Rivas C Dillon Dingler OF Shohei Ohtani OF Riley Greene OF Wenceel Perez P Chris Sale P Emerson Hancock SS Kevin McGonigle,,Tyrone Taylor,OF,5.42%,5
66,5129599333,zroth2 (37/150),0,155,1B Josh Naylor 2B Gleyber Torres 3B Colt Keith C Drake Baldwin OF Riley Greene OF Michael Harris II OF Wenceel Perez P Chris Sale P Reid Detmers SS Kevin McGonigle,,Xander Bogaerts,SS,5.39%,2
67,5129967070,nerdytenor (143/150),0,154.95,1B Matt Olson 2B Marcus Semien 3B Colt Keith C Dillon Dingler OF Riley Greene OF Michael Harris II OF Wenceel Perez P Chris Sale P Keider Montero SS Kevin McGonigle,,Fernando Tatis Jr.,OF,5.37%,0
68,5129512293,AaronCosta (59/75),0,154.65,1B Alec Burleson 2B JJ Wetherholt 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Mike Yastrzemski OF Andrew Benintendi P Chris Sale P Sean Burke SS Jorge Mateo,,Colt Keith,3B,5.36%,12
68,5129936612,urjimenez95 (1/2),0,154.65,1B Matt Olson 2B JJ Wetherholt 3B Josh Jung C Drake Baldwin OF Jordan Walker OF Mauricio Dubon OF Sam Antonacci P Chris Sale P Sean Burke SS Masyn Winn,,Andrew Benintendi,OF,5.32%,5
70,5129822988,sbcousle (142/150),0,154.3,1B Gavin Sheets 2B Fernando Tatis Jr. 3B Colt Keith C Dillon Dingler OF Riley Greene OF Michael Harris II OF Wenceel Perez P Chris Sale P Emerson Hancock SS Kevin McGonigle,,Mauricio Dubon,OF,5.31%,2
71,5129973241,thechek182 (33/50),0,154.05,1B Matt Olson 2B Ozzie Albies 3B Kevin McGonigle C Drake Baldwin OF Michael Harris II OF Nathan Church OF Wenceel Perez P Chris Sale P Michael McGreevy SS Mauricio Dubon,,Gleyber Torres,2B,5.20%,8
72,5129730515,pgk8 (39/40),0,154,1B Alec Burleson 2B Gleyber Torres 3B Colt Keith C Ivan Herrera OF Jordan Walker OF Riley Greene OF Wenceel Perez P Chris Sale P Reid Detmers SS Kevin McGonigle,,Cole Young,2B,5.10%,0
72,5129760756,cantfademe (136/150),0,154,1B Matt Olson 2B Ozzie Albies 3B Colt Keith C Drake Baldwin OF Riley Greene OF Isaac Collins OF Wenceel Perez P Chris Sale P Reid Detmers SS Mauricio Dubon,,Keider Montero,P,5.08%,16.8
72,5129871145,mrgoodseats (148/150),0,154,1B Gavin Sheets 2B Ozzie Albies 3B Austin Riley C Drake Baldwin OF Michael Harris II OF Andrew Benintendi OF Sam Antonacci P Chris Sale P Reid Detmers SS Jorge Mateo,,Randy Arozarena,OF,5.06%,2
