P,P,C,1B,2B,3B,SS,OF,OF,OF,Projection,Salary,Ownership,Ceiling,MC_EV,MC_Top1Pct
42449034,42449041,42449103,42449057,42449078,42449134,42449113,42449222,42449110,42449215,100.14,49900,14.32,194.36,0.0000,0.0000
42449045,42449034,42449184,42449073,42449206,42449264,42449166,42449071,42449053,42449082,97.10,50000,16.22,190.61,0.0000,0.0000
42449041,42449034,42449210,42449073,42449321,42449105,42449157,42449071,42449110,42449076,100.23,49200,10.45,187.36,0.0000,0.0000
42449038,42449041,42449189,42449068,42449321,42449063,42449087,42449108,42449222,42449058,102.08,50000,7.86,187.45,0.0000,0.0000
42449034,42449050,42449210,42449073,42449133,42449105,42449166,42449163,42449117,42449062,99.60,48500,10.47,187.36,0.0000,0.0000
42449049,42449041,42449173,42449132,42449136,42449105,42449113,42449110,42449070,42449064,98.43,49300,10.71,182.30,0.0000,0.0000
42449034,42449050,42449210,42449147,42449133,42449105,42449157,42449117,42449071,42449065,99.39,48700,11.25,186.36,0.0000,0.0000
42449050,42449041,42449189,42449203,42449123,42449105,42449166,42449071,42449058,42449065,105.09,49100,16.26,191.90,0.0000,0.0000
42449050,42449034,42449184,42449073,42449321,42449105,42449157,42449117,42449067,42449076,100.15,48300,9.81,185.36,0.0000,0.0000
42449034,42449041,42449184,42449073,42449252,42449061,42449150,42449278,42449071,42449117,100.03,48900,8.51,187.36,0.0000,0.0000
42449041,42449038,42449184,42449073,42449123,42449188,42449087,42449071,42449215,42449278,97.65,47000,15.06,189.45,0.0000,0.0000
42449034,42449038,42449210,42449124,42449213,42449105,42449096,42449117,42449071,42449278,97.48,47600,10.55,185.91,0.0000,0.0000
42449041,42449034,42449184,42449073,42449133,42449213,42449166,42449129,42449171,42449071,97.22,48000,11.29,187.36,0.0000,0.0000
42449041,42449042,42449139,42449057,42449321,42449134,42449096,42449238,42449065,42449110,96.97,48400,14.39,183.95,0.0000,0.0000
42449034,42449038,42449210,42449073,42449158,42449105,42449289,42449071,42449066,42449117,97.76,50000,12.63,191.91,0.0000,0.0000
42449041,42449050,42449139,42449057,42449175,42449134,42449248,42449140,42449059,42449108,97.94,48000,10.62,182.90,0.0000,0.0000
42449034,42449050,42449210,42449073,42449123,42449100,42449150,42449071,42449305,42449053,99.12,49500,11.30,188.36,0.0000,0.0000
42449041,42449050,42449139,42449084,42449175,42449116,42449072,42449215,42449065,42449155,98.28,47600,11.57,182.90,0.0000,0.0000
42449034,42449050,42449122,42449053,42449158,42449134,42449113,42449110,42449215,42449065,98.71,50000,17.93,196.36,0.0000,0.0000
42449041,42449050,42449139,42449057,42449213,42449207,42449087,42449070,42449110,42449215,98.23,47500,10.18,182.90,0.0000,0.0000
42449038,42449041,42449184,42449057,42449175,42449100,42449088,42449110,42449215,42449145,96.93,48600,10.73,181.45,0.0000,0.0000
42449038,42449034,42449184,42449053,42449321,42449084,42449096,42449215,42449108,42449082,101.66,50000,11.58,191.91,0.0000,0.0000
42449050,42449041,42449139,42449057,42449180,42449116,42449072,42449215,42449140,42449130,98.11,47600,9.73,182.90,0.0000,0.0000
42449041,42449049,42449139,42449057,42449239,42449116,42449096,42449065,42449215,42449148,96.91,48000,9.51,180.30,0.0000,0.0000
42449041,42449042,42449083,42449158,42449206,42449088,42449072,42449222,42449056,42449120,97.05,49800,12.42,187.95,0.0000,0.0000
42449041,42449038,42449083,42449321,42449136,42449152,42449096,42449108,42449222,42449067,100.90,47400,7.30,181.45,0.0000,0.0000
42449041,42449044,42449083,42449068,42449321,42449063,42449096,42449082,42449222,42449134,102.29,49100,9.71,187.81,0.0000,0.0000
42449041,42449049,42449083,42449057,42449239,42449116,42449096,42449110,42449215,42449144,96.98,47700,8.74,181.30,0.0000,0.0000
42449041,42449038,42449083,42449057,42449153,42449116,42449248,42449215,42449064,42449134,97.81,49700,10.86,181.45,0.0000,0.0000
42449037,42449041,42449189,42449057,42449180,42449134,42449248,42449066,42449215,42449058,97.04,49600,9.16,183.60,0.0000,0.0000
42449041,42449049,42449139,42449057,42449239,42449116,42449113,42449065,42449134,42449108,97.07,49000,10.49,184.30,0.0000,0.0000
42449044,42449041,42449083,42449124,42449153,42449264,42449096,42449065,42449107,42449120,98.46,48500,9.98,186.81,0.0000,0.0000
42449041,42449038,42449139,42449057,42449239,42449134,42449248,42449155,42449108,42449065,97.04,48600,9.85,184.45,0.0000,0.0000
42449041,42449044,42449139,42449057,42449252,42449134,42449106,42449222,42449065,42449110,97.92,48500,10.77,183.81,0.0000,0.0000
42449038,42449041,42449139,42449128,42449252,42449116,42449150,42449065,42449082,42449110,97.62,48800,8.01,181.45,0.0000,0.0000
42449041,42449035,42449210,42449057,42449252,42449134,42449248,42449215,42449065,42449070,96.94,48500,11.45,182.81,0.0000,0.0000
42449051,42449041,42449189,42449132,42449078,42449061,42449096,42449082,42449162,42449108,97.75,48900,9.05,182.00,0.0000,0.0000
42449041,42449050,42449139,42449057,42449229,42449116,42449113,42449228,42449110,42449070,97.88,47800,9.70,178.90,0.0000,0.0000
42449050,42449041,42449139,42449057,42449175,42449084,42449289,42449134,42449215,42449055,96.96,47800,9.99,183.90,0.0000,0.0000
42449041,42449050,42449139,42449057,42449281,42449116,42449248,42449062,42449134,42449058,97.37,49000,14.20,180.90,0.0000,0.0000
42449041,42449050,42449125,42449057,42449191,42449116,42449199,42449110,42449215,42449065,98.07,47500,12.66,179.90,0.0000,0.0000
42449041,42449050,42449139,42449057,42449086,42449116,42449150,42449215,42449065,42449091,101.41,49700,12.35,184.90,0.0000,0.0000
42449041,42449050,42449139,42449077,42449175,42449134,42449157,42449108,42449065,42449053,99.17,50000,10.85,185.90,0.0000,0.0000
42449041,42449050,42449210,42449138,42449180,42449074,42449157,42449067,42449082,42449108,98.44,47600,5.58,177.90,0.0000,0.0000
42449041,42449049,42449139,42449073,42449206,42449164,42449072,42449056,42449215,42449065,97.95,49900,15.41,191.30,0.0000,0.0000
42449050,42449041,42449095,42449068,42449136,42449090,42449106,42449148,42449097,42449305,99.51,47300,5.56,174.90,0.0000,0.0000
