P,P,C,1B,2B,3B,SS,OF,OF,OF,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Saber Score
42755639,42755634,42755669,42755772,42755673,42755812,42755679,42755694,42755780,42755651,,90.92,73.18610001,91.22359848,108.6611042,119.1986008,136.6661049,160.2001083,37.35,50000,1,78.4,-13.33883256
42756281,42755634,42755669,42755772,42755673,42755812,42755679,42755694,42755780,42755651,,88.57,72.55614853,89.06864929,107.1311493,117.6836475,136.1311523,159.5711493,34.83,49800,1,83.45,-22.60304689
42755626,42755634,42755669,42755772,42755903,42755812,42755679,42755694,42755780,42755651,,96.15,78.45615196,96.56864929,115.2186546,126.2486504,142.9761436,157.6861401,69.77,49900,1,100.85,-3.872357309
42755626,42755634,42755669,42755772,42755884,42755812,42755679,42755694,42755780,42755651,,95.41,78.91864777,96.41864777,115.281147,125.1486519,142.8386497,161.4221402,69.86,50000,1,95.85,-8.295760304
42755626,42756140,42755954,42755772,42755884,42755812,42755679,42755694,42755780,42755651,,100.65,81.7127037,100.4001999,121.5751991,131.4902031,148.7777069,168.4417014,101.07,49400,1,79.15,8.51149112
42755626,42756140,42755869,42755772,42755744,42755812,42755758,42755694,42755803,42755651,,98.46,86.39819717,103.9481964,123.7106972,134.7356964,153.7856995,171.9656964,96.19,49600,1,77.15,54.61741686
42755626,42756140,42755876,42755660,42755673,42755911,42755799,42755674,42755727,42755845,,105.92,88.97319984,107.148201,127.4731979,139.5056999,158.3007027,176.5497025,127.14,49800,1,108.15,9.165617824
42755633,42756140,42755714,42755660,42755673,42755911,42755799,42755727,42755686,42755900,,97.07,77.38570023,96.44820023,115.9232006,127.148201,144.5482025,167.6486934,100.09,49000,1,64.6,-19.87924874
42755628,42755634,42755726,42755687,42755703,42755905,42755690,42755657,42755920,42755661,,88.05,71.79715347,88.28465271,107.7471485,118.6046547,136.3296616,154.6421495,56.27,49400,1,97.2,-28.37756276
42755628,42755634,42755935,42755687,42755703,42755743,42755690,42755657,42755956,42755661,,91.42,72.21865082,88.96865082,109.281147,119.4761501,136.4186554,159.6346524,62.28,49000,1,83.2,-13.12368512
42755628,42755634,42755935,42755687,42755703,42755717,42755690,42755657,42755956,42755661,,91.45,72.54364967,89.76865005,108.2311497,119.3836521,138.8711517,162.6696553,61.14,49300,1,83.2,-20.51180452
42755628,42755634,42755726,42755687,42755736,42755933,42755653,42755657,42755787,42755712,,80.5,71.35914612,87.7466507,107.4716454,117.8241508,136.0391518,159.7241492,54.87,49800,1,79.2,-25.2923876
42755628,42755634,42755672,42755687,42755703,42755717,42755690,42755657,42755787,42755956,,93.2,75.10615158,91.34365082,112.2311497,123.2761467,142.5361465,163.9191403,78.19,49900,1,79.2,-8.235529065
42755628,42755646,42755726,42755687,42755703,42755717,42755690,42755657,42755787,42755661,,91.15,72.53825378,90.20074844,110.4882469,122.0007477,140.5632507,159.1637567,61.21,49800,1,52.45,-19.65121478
42755630,42755627,42755699,42755676,42755662,42755857,42755765,42755667,42755838,42755793,,82.67,64.30215073,82.21465302,100.9771519,111.4371502,130.4421432,151.6796423,31.99,49100,1,61,-43.48520935
42755630,42755632,42755699,42755704,42755662,42755676,42755765,42755667,42755838,42755793,,92.02,74.25020218,92.38769913,111.9626999,121.8801979,144.1152016,157.8772014,44.79,50000,1,92.8,-12.21575215
42755632,42755627,42755664,42755704,42755662,42755857,42755765,42755667,42755838,42755793,,89.42,72.47304916,89.04805374,107.3980484,117.8130497,136.553064,155.8240498,42.92,49100,1,93.8,-38.93266022
42756140,42755632,42755876,42755856,42755715,42755973,42755668,42755647,42755727,42755686,,109.09,89.35074997,110.2382507,130.10075,140.3082451,159.2157562,185.9707568,144.36,49800,1,97.35,20.29304057
42755629,42755637,42755669,42755855,42755744,42755650,42755862,42755661,42755721,42755741,,94.52,74.95869827,92.53369904,114.0086975,124.516198,146.9361916,172.2102097,72.72,49400,1,109.75,-22.8439644
42755626,42755633,42755669,42755855,42755915,42755650,42755880,42755661,42755721,42755741,,96.59,76.71249962,97.02500153,118.2250004,128.8450035,150.8800056,175.2069969,89.53,49500,1,99.65,-9.491954744
42755629,42755627,42755669,42755855,42755915,42755650,42755880,42755661,42755721,42755741,,90.66,70.09710121,88.32210159,110.5096016,121.6371006,140.6771034,164.1776039,67.03,49300,1,87.5,-26.33366287
