PG,SG,SF,PF,C,G,F,UTIL,,Proj Score,25th,50th,75th,85th,95th,99th,Ownership,Salary,Sim Optimals,Actual,Large Slate | 100-1k,Large Slate | 10k-50k,Large Slate | 1k-10k,Large Slate | 50k+,Single Game,Small Slate | 100-1k,Small Slate | 10k-50k,Small Slate | 1k-10k,Small Slate | 50k+,geomean1,Saber Score
42971732,42971767,42971741,42971750,42971820,42971747,42971800,42971761,,244.19,229.5,243.5,258.5,267.2875,282.2625,302,245.66,50000,1,0,100.2302679,94.15666494,97.19853302,91.11479685,169.08345,97.16741122,94.12554313,94.12554313,81.68777679,26.45998157,-4.255307838
42971763,42971744,42971784,42971757,42971820,42971747,42971728,42971776,,246.14,229.4375,245.5,260.75,269.5375,282.5125,305.0125,268.78,49100,1,0,100.7775884,94.07105775,97.39431992,90.74779558,169.1209157,97.44763136,94.12436919,94.12436919,81.33017701,34.12784718,-13.90247196
42971822,42971813,42971784,42971757,42971721,42971744,42971772,42971738,,244.3,228.4375,243.25,260.0625,268,283.0125,301.765,251.22,49900,1,0,100.2851895,94.1870741,97.24117196,91.13297623,169.0928509,97.17804659,94.12394872,94.12394872,81.66972003,30.67874654,-20.43000162
42971822,42971744,42971767,42971750,42971820,42971747,42971800,42971721,,246.77,232.5,247.5,260.5,269,282.775,299.7525,274.76,49200,1,0,100.973971,94.24023999,97.59080168,90.88967831,169.2602449,97.47359893,94.12303725,94.12303725,81.27730453,34.54393822,17.76281893
42971732,42971796,42971757,42971728,42971820,42971787,42971800,42971723,,242.45,224.5,241.25,258.5,267.75,282.5,304.76,262.44,49800,1,0,99.77078101,94.07673221,96.92468812,91.22877631,168.9356631,96.97064333,94.12268742,94.12268742,81.94578466,23.03814339,-29.83624935
42971844,42971828,42971757,42971750,42971723,42971779,42971772,42971721,,241.85,224.6875,240.25,257,265.75,281.525,299.005,232.02,50000,1,0,99.60618701,94.22153847,96.93353506,91.50954189,169.0228882,96.83462086,94.12262427,94.12262427,82.10476752,22.60837872,2.392682806
42971763,42971767,42971757,42971800,42971721,42971744,42971813,42971787,,245.33,229.5,245.5,261.5,268.75,284.5125,299.2525,292.6,49700,1,0,100.6002566,94.3107812,97.47226582,91.14929658,169.1951346,97.28228811,94.12080349,94.12080349,81.5195559,32.00627881,-12.50401586
42971806,42971779,42971784,42971757,42971772,42971747,42971767,42971721,,245.29,227.5,245.25,260.8125,270.2875,285.2625,299.27,276.76,49600,1,0,100.6432861,94.33471033,97.49134583,91.17807482,169.1925199,97.27713366,94.12049815,94.12049815,81.52563879,29.67010612,8.739524335
42971763,42971744,42971741,42971800,42971723,42971747,42971776,42971820,,245.36,227.75,244.75,260.25,269.25,283.5,298.5025,259.6,49500,1,0,100.6326909,94.29928893,97.45730427,91.14127358,169.2113078,97.27769343,94.11967808,94.11967808,81.52074543,27.56263504,-7.387828082
42971732,42971787,42971767,42971757,42971820,42971725,42971779,42971747,,244.73,228.5,244.125,259.75,268.0375,284,302.02,280.22,50000,1,0,100.3925933,94.20707405,97.32052937,91.09361874,169.1064997,97.23263235,94.11917704,94.11917704,81.58904544,28.75274039,-17.17702299
42971732,42971779,42971776,42971738,42971818,42971735,42971800,42971747,,244.59,228,244.875,262.0625,271.7875,286.5,302.255,267.44,49500,1,0,100.4847234,94.2817926,97.37991087,91.18367432,169.0940786,97.21666813,94.11854986,94.11854986,81.60914219,25.67219853,-18.26564521
42971747,42971779,42971784,42971728,42971723,42971813,42971800,42971744,,246.04,229.75,244.5,259.75,268.5375,284.7875,302.0125,284.28,49300,1,0,100.7457945,94.23230555,97.51404068,90.95057041,169.1731875,97.39990134,94.11816621,94.11816621,81.36934884,33.99827368,-18.54102314
42971763,42971787,42971757,42971728,42971818,42971735,42971776,42971761,,241.72,224.4375,241,256.8125,265.25,282,300.5,239.72,49800,1,0,99.53810235,94.18528112,96.89791961,91.47264264,168.9815875,96.82931519,94.1166767,94.1166767,82.10318016,22.12048737,-24.59960133
42971732,42971744,42971776,42971800,42971772,42971806,42971738,42971747,,245.56,229.1875,244.5,262.25,271.5,286.0375,306.76,268.88,49300,1,0,100.6765386,94.12554423,97.3950647,90.85602377,169.0498621,97.38571184,94.11619137,94.11619137,81.39805803,31.03538126,-14.50056881
42971822,42971763,42971784,42971772,42971721,42971747,42971800,42971738,,243.63,226.6875,244.875,261.25,270,284.7625,307.005,249.96,50000,1,0,100.1265155,94.07539928,97.10005612,91.05074245,168.9454918,97.14035556,94.11569873,94.11569873,81.71669121,30.27731577,0.21544015
42971809,42971725,42971757,42971772,42971820,42971735,42971800,42971723,,243.62,225.5,241.25,259.25,271.5,286.525,299.005,266.84,49800,1,0,100.2572911,94.37684347,97.31914176,91.43454517,169.1071307,97.0550748,94.1127765,94.1127765,81.79651229,25.13474132,-32.43090212
42971787,42971828,42971784,42971728,42971772,42971747,42971776,42971721,,243.69,228.5,243,258.5,266.7875,281.775,297.7675,239.94,49900,1,0,100.1237385,94.25801745,97.1966042,91.3194307,169.1361013,97.05135603,94.11276928,94.11276928,81.79752317,28.24697859,3.838483617
42971732,42971763,42971784,42971750,42971772,42971767,42971800,42971738,,246.1,230.25,246,263.25,271.2875,289.7625,303.7625,277.76,50000,1,0,100.8372102,94.33724984,97.64647478,91.0280249,169.1366773,97.42185376,94.11262882,94.11262882,81.33401299,33.62607687,18.95901412
42971822,42971787,42971800,42971728,42971772,42971747,42971776,42971721,,245.78,230,246,260.5,269.5375,282.5,296.7525,281.86,49700,1,0,100.7656966,94.31200972,97.50864356,91.11537588,169.2633563,97.30821795,94.1115841,94.1115841,81.45787227,31.95710222,-9.061661363
42971806,42971822,42971776,42971757,42971721,42971779,42971738,42971744,,243.41,226.75,243,258.3125,266.75,280.25,300.0025,243.82,49900,1,0,100.026703,94.13593506,97.06251278,91.20935734,169.0739291,97.03640437,94.10982665,94.10982665,81.81736337,27.24102873,-16.85430259
42971732,42971763,42971784,42971757,42971820,42971813,42971776,42971721,,245.03,228.75,244.875,260,269,283.5125,297.255,243.3,49800,1,0,100.5487052,94.32783077,97.4341442,91.22151735,169.2131302,97.21573645,94.10942302,94.10942302,81.57488997,31.18920792,-8.523793519
42971763,42971779,42971767,42971750,42971723,42971787,42971784,42971738,,244.9,227,244.75,262.5,271.25,287.5,301.0075,262,50000,1,0,100.5550488,94.34342157,97.47176745,91.21507569,169.1290484,97.23711014,94.10876426,94.10876426,81.55720086,31.81509882,0.921110064
42971732,42971779,42971784,42971800,42971721,42971806,42971772,42971747,,244.28,227.25,244,260.75,268.5375,284.5125,299.775,255.12,49900,1,0,100.3140065,94.2822775,97.31859099,91.24596401,169.1222632,97.14468995,94.10837647,94.10837647,81.67270171,28.48742463,6.205101684
