Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
16499,5042376208,hotchiily (2/3),0,245.25,C Nic Claxton F Scottie Barnes G Coby White PF Saddiq Bey PG Craig Porter Jr. SF Gradey Dick SG VJ Edgecombe UTIL Derik Queen,,,,,
16499,5042399081,ManilaVice (2/2),0,245.25,C Day'Ron Sharpe F Gradey Dick G Brandon Ingram PF Pascal Siakam PG Craig Porter Jr. SF Jaylon Tyson SG Trey Murphy III UTIL John Collins,,,,,
16499,5042411297,CJMucciaccio (6/8),0,245.25,C Collin Murray-Boyles F Johnny Furphy G Trey Murphy III PF Scottie Barnes PG Craig Porter Jr. SF Drake Powell SG Donovan Mitchell UTIL Jamal Shead,,,,,
16499,5042430895,kima28,0,245.25,C Collin Murray-Boyles F Scottie Barnes G Jamal Shead PF Saddiq Bey PG Craig Porter Jr. SF Ayo Dosunmu SG Brandon Ingram UTIL Coby White,,,,,
16499,5042436205,guessnyg,0,245.25,C Collin Murray-Boyles F Ayo Dosunmu G Trey Murphy III PF Jay Huff PG Egor Demin SF Jordan Miller SG VJ Edgecombe UTIL Evan Mobley,,,,,
16499,5042451593,Shocker765 (3/4),0,245.25,C Ivica Zubac F Drake Powell G Kobe Sanders PF Scottie Barnes PG James Harden SF Ochai Agbaji SG Brandon Ingram UTIL Collin Murray-Boyles,,,,,
16499,5042454030,aaschroeder (1/2),0,245.25,C Day'Ron Sharpe F Jaylon Tyson G Ayo Dosunmu PF Collin Murray-Boyles PG Andrew Nembhard SF Michael Porter Jr. SG Brandon Ingram UTIL Yves Missi,,,,,
16499,5042485506,aarondp987 (118/150),0,245.25,C Nic Claxton F Scottie Barnes G Egor Demin PF Zion Williamson PG T.J. McConnell SF Johnny Furphy SG Trey Murphy III UTIL Day'Ron Sharpe,,,,,
16499,5042491653,sbcousle (67/150),0,245.25,C Nikola Vucevic F Drake Powell G Jamal Shead PF Matas Buzelis PG Egor Demin SF Michael Porter Jr. SG Coby White UTIL Nic Claxton,,,,,
16499,5042493856,tomjk321 (43/150),0,245.25,C Jarrett Allen F Collin Murray-Boyles G T.J. McConnell PF Zion Williamson PG Tyrese Maxey SF Aaron Nesmith SG Kris Dunn UTIL Craig Porter Jr.,,,,,
16499,5042493918,tomjk321 (105/150),0,245.25,C Ivica Zubac F Matas Buzelis G Andrew Nembhard PF Nae'Qwan Tomlin PG Craig Porter Jr. SF Drake Powell SG Brandon Ingram UTIL James Harden,,,,,
16499,5042503297,greyhounds2010,0,245.25,C Day'Ron Sharpe F Zion Williamson G VJ Edgecombe PF Matas Buzelis PG Egor Demin SF Johnny Furphy SG Donovan Mitchell UTIL Jordan Miller,,,,,
16499,5042504490,madispur,0,245.25,C Yves Missi F Johnny Furphy G Trey Murphy III PF Scottie Barnes PG Egor Demin SF Gradey Dick SG Donovan Mitchell UTIL Jalen Smith,,,,,
16499,5042508922,lebs11 (1/2),0,245.25,C Jarrett Allen F Noah Clowney G Lonzo Ball PF Pascal Siakam PG Andrew Nembhard SF Gradey Dick SG Trey Murphy III UTIL Collin Murray-Boyles,,,,,
16499,5042511671,stella1987,0,245.25,C Jarrett Allen F Pascal Siakam G Ayo Dosunmu PF Zion Williamson PG Jamal Shead SF Aaron Nesmith SG Coby White UTIL Jarace Walker,,,,,
16499,5042511877,skafriha (5/13),0,245.25,C Yves Missi F Gradey Dick G Donovan Mitchell PF De'Andre Hunter PG Tyrese Maxey SF Jarace Walker SG Trey Murphy III UTIL Craig Porter Jr.,,,,,
16499,5042534779,BenHoopin210 (1/2),0,245.25,C Yves Missi F Collin Murray-Boyles G Donovan Mitchell PF Jarace Walker PG James Harden SF Johnny Furphy SG Trey Murphy III UTIL Jordan Miller,,,,,
16499,5042537233,UcantKPme (4/7),0,245.25,C Collin Murray-Boyles F Ochai Agbaji G Drake Powell PF Scottie Barnes PG James Harden SF Kobe Sanders SG Brandon Ingram UTIL Ivica Zubac,,,,,
16499,5042539428,legal_problem,0,245.25,C Derik Queen F Kobe Sanders G Jamal Shead PF Evan Mobley PG Andrew Nembhard SF Ayo Dosunmu SG Trey Murphy III UTIL Lonzo Ball,,,,,
16499,5042543333,ShipMyMoney (137/150),0,245.25,C Jarrett Allen F Jaylon Tyson G Andrew Nembhard PF Scottie Barnes PG T.J. McConnell SF Saddiq Bey SG Cam Thomas UTIL Aaron Nesmith,,,,,
16499,5042545366,EMUHuronsXVI (4/5),0,245.25,C Nikola Vucevic F Johnny Furphy G Jamal Shead PF Pascal Siakam PG Egor Demin SF Gradey Dick SG Trey Murphy III UTIL Collin Murray-Boyles,,,,,
